id,class,petal_length,petal_width,sepal_length,sepal_width,cluster_kmeans3
62,Iris-versicolor,4.2,1.5,5.9,3.0,0
63,Iris-versicolor,4.0,1.0,6.0,2.2,0
64,Iris-versicolor,4.7,1.4,6.1,2.9,0
65,Iris-versicolor,3.6,1.3,5.6,2.9,0
66,Iris-versicolor,4.4,1.4,6.7,3.1,0
67,Iris-versicolor,4.5,1.5,5.6,3.0,0
68,Iris-versicolor,4.1,1.0,5.8,2.7,0
69,Iris-versicolor,4.5,1.5,6.2,2.2,0
70,Iris-versicolor,3.9,1.1,5.6,2.5,0
71,Iris-versicolor,4.8,1.8,5.9,3.2,0
72,Iris-versicolor,4.0,1.3,6.1,2.8,0
73,Iris-versicolor,4.9,1.5,6.3,2.5,0
74,Iris-versicolor,4.7,1.2,6.1,2.8,0
75,Iris-versicolor,4.3,1.3,6.4,2.9,0
76,Iris-versicolor,4.4,1.4,6.6,3.0,0
77,Iris-versicolor,4.8,1.4,6.8,2.8,0
78,Iris-versicolor,5.0,1.7,6.7,3.0,2
79,Iris-versicolor,4.5,1.5,6.0,2.9,0
80,Iris-versicolor,3.5,1.0,5.7,2.6,0
81,Iris-versicolor,3.8,1.1,5.5,2.4,0
82,Iris-versicolor,3.7,1.0,5.5,2.4,0
83,Iris-versicolor,3.9,1.2,5.8,2.7,0
84,Iris-versicolor,5.1,1.6,6.0,2.7,0
85,Iris-versicolor,4.5,1.5,5.4,3.0,0
86,Iris-versicolor,4.5,1.6,6.0,3.4,0
87,Iris-versicolor,4.7,1.5,6.7,3.1,0
88,Iris-versicolor,4.4,1.3,6.3,2.3,0
89,Iris-versicolor,4.1,1.3,5.6,3.0,0
90,Iris-versicolor,4.0,1.3,5.5,2.5,0
91,Iris-versicolor,4.4,1.2,5.5,2.6,0
92,Iris-versicolor,4.6,1.4,6.1,3.0,0
93,Iris-versicolor,4.0,1.2,5.8,2.6,0
94,Iris-versicolor,3.3,1.0,5.0,2.3,0
95,Iris-versicolor,4.2,1.3,5.6,2.7,0
96,Iris-versicolor,4.2,1.2,5.7,3.0,0
97,Iris-versicolor,4.2,1.3,5.7,2.9,0
98,Iris-versicolor,4.3,1.3,6.2,2.9,0
99,Iris-versicolor,3.0,1.1,5.1,2.5,0
100,Iris-versicolor,4.1,1.3,5.7,2.8,0
101,Iris-virginica,6.0,2.5,6.3,3.3,2
102,Iris-virginica,5.1,1.9,5.8,2.7,0
103,Iris-virginica,5.9,2.1,7.1,3.0,2
104,Iris-virginica,5.6,1.8,6.3,2.9,2
105,Iris-virginica,5.8,2.2,6.5,3.0,2
106,Iris-virginica,6.6,2.1,7.6,3.0,2
107,Iris-virginica,4.5,1.7,4.9,2.5,0
108,Iris-virginica,6.3,1.8,7.3,2.9,2
109,Iris-virginica,5.8,1.8,6.7,2.5,2
110,Iris-virginica,6.1,2.5,7.2,3.6,2
111,Iris-virginica,5.1,2.0,6.5,3.2,2
112,Iris-virginica,5.3,1.9,6.4,2.7,2
113,Iris-virginica,5.5,2.1,6.8,3.0,2
114,Iris-virginica,5.0,2.0,5.7,2.5,0
115,Iris-virginica,5.1,2.4,5.8,2.8,0
116,Iris-virginica,5.3,2.3,6.4,3.2,2
117,Iris-virginica,5.5,1.8,6.5,3.0,2
118,Iris-virginica,6.7,2.2,7.7,3.8,2
119,Iris-virginica,6.9,2.3,7.7,2.6,2
120,Iris-virginica,5.0,1.5,6.0,2.2,0
121,Iris-virginica,5.7,2.3,6.9,3.2,2
122,Iris-virginica,4.9,2.0,5.6,2.8,0
123,Iris-virginica,6.7,2.0,7.7,2.8,2
124,Iris-virginica,4.9,1.8,6.3,2.7,0
125,Iris-virginica,5.7,2.1,6.7,3.3,2
126,Iris-virginica,6.0,1.8,7.2,3.2,2
127,Iris-virginica,4.8,1.8,6.2,2.8,0
128,Iris-virginica,4.9,1.8,6.1,3.0,0
129,Iris-virginica,5.6,2.1,6.4,2.8,2
130,Iris-virginica,5.8,1.6,7.2,3.0,2
131,Iris-virginica,6.1,1.9,7.4,2.8,2
132,Iris-virginica,6.4,2.0,7.9,3.8,2
133,Iris-virginica,5.6,2.2,6.4,2.8,2
134,Iris-virginica,5.1,1.5,6.3,2.8,0
135,Iris-virginica,5.6,1.4,6.1,2.6,2
136,Iris-virginica,6.1,2.3,7.7,3.0,2
137,Iris-virginica,5.6,2.4,6.3,3.4,2
138,Iris-virginica,5.5,1.8,6.4,3.1,2
139,Iris-virginica,4.8,1.8,6.0,3.0,0
140,Iris-virginica,5.4,2.1,6.9,3.1,2
141,Iris-virginica,5.6,2.4,6.7,3.1,2
142,Iris-virginica,5.1,2.3,6.9,3.1,2
143,Iris-virginica,5.1,1.9,5.8,2.7,0
144,Iris-virginica,5.9,2.3,6.8,3.2,2
145,Iris-virginica,5.7,2.5,6.7,3.3,2
146,Iris-virginica,5.2,2.3,6.7,3.0,2
147,Iris-virginica,5.0,1.9,6.3,2.5,0
148,Iris-virginica,5.2,2.0,6.5,3.0,2
149,Iris-virginica,5.4,2.3,6.2,3.4,2
150,Iris-virginica,5.1,1.8,5.9,3.0,0
